epoch_ms,http_code,total_s,connect_s,ttfb_s
1786421865802,200,0.379,0.000,0.379
1786421866802,200,0.007,0.000,0.006
1786421867802,200,0.008,0.000,0.008
1786421868802,200,0.242,0.000,0.242
1786421869802,200,0.220,0.000,0.220
1786421870803,200,0.070,0.000,0.070
1786421871803,200,0.255,0.000,0.255
1786421872803,200,0.180,0.000,0.180
1786421873803,200,0.193,0.000,0.193
1786421874803,200,0.201,0.000,0.201
1786421875803,200,0.112,0.000,0.112
1786421876803,200,0.105,0.000,0.105
1786421877803,200,0.109,0.000,0.109
1786421878803,200,0.025,0.000,0.025
1786421879804,200,0.036,0.000,0.036
1786421880804,200,0.027,0.000,0.027
1786421881804,200,0.027,0.000,0.027
1786421882804,200,0.326,0.000,0.326
1786421883804,200,0.011,0.000,0.011
1786421884804,200,0.184,0.000,0.184
1786421885804,200,0.111,0.000,0.110
1786421886804,200,0.124,0.000,0.124
1786421887804,200,0.161,0.000,0.161
1786421888804,200,0.090,0.000,0.090
1786421889805,200,0.093,0.000,0.092
1786421890805,200,0.010,0.000,0.010
1786421891805,200,0.013,0.000,0.012
1786421892805,200,0.053,0.000,0.053
1786421893805,200,0.026,0.000,0.026
1786421894805,200,0.043,0.000,0.043
1786421895805,200,0.039,0.000,0.039
1786421896805,200,0.340,0.000,0.340
1786421897805,200,0.257,0.000,0.257
1786421898806,200,0.259,0.000,0.259
1786421899806,200,0.256,0.000,0.256
1786421900806,200,0.181,0.000,0.180
1786421901806,200,0.192,0.000,0.192
1786421902806,200,0.078,0.000,0.078
1786421903806,200,0.125,0.000,0.125
1786421904806,200,0.070,0.000,0.070
1786421905806,200,0.088,0.000,0.088
1786421906807,200,0.112,0.000,0.111
1786421907807,200,0.051,0.000,0.051
1786421908807,200,0.066,0.000,0.066
1786421909807,200,0.101,0.000,0.101
1786421910807,200,0.042,0.000,0.042
1786421911807,200,0.050,0.000,0.050
1786421912807,200,0.115,0.000,0.115
1786421913807,200,0.020,0.000,0.020
1786421914807,200,0.018,0.000,0.018
1786421915808,200,0.011,0.000,0.011
1786421916808,200,0.330,0.000,0.330
1786421917808,200,0.248,0.000,0.247
1786421918808,200,0.272,0.000,0.272
1786421919808,200,0.200,0.000,0.199
1786421920808,200,0.008,0.000,0.008
1786421921808,200,0.021,0.000,0.021
1786421922808,200,0.329,0.000,0.329
1786421923808,200,0.263,0.000,0.263
1786421924809,200,0.265,0.000,0.265
1786421925809,200,0.274,0.000,0.274
1786421926809,200,0.188,0.000,0.188
1786421927809,200,0.214,0.000,0.214
1786421928809,200,0.275,0.000,0.275
1786421929809,200,0.286,0.000,0.286
1786421930809,200,0.286,0.000,0.286
1786421931809,200,0.218,0.000,0.218
1786421932809,200,0.204,0.000,0.204
1786421933809,200,0.197,0.000,0.197
1786421934809,200,0.105,0.000,0.105
1786421935810,200,0.011,0.000,0.011
1786421936810,200,0.114,0.000,0.114
1786421937810,200,0.043,0.000,0.043
1786421938810,200,0.056,0.000,0.056
1786421939810,200,0.052,0.000,0.052
1786421940810,200,0.287,0.000,0.287
1786421941810,200,0.007,0.000,0.007
1786421942810,200,0.344,0.000,0.344
1786421943810,200,0.099,0.000,0.099
1786421944811,200,0.073,0.000,0.073
1786421945811,200,0.360,0.000,0.360
1786421946811,200,0.277,0.000,0.277
1786421947811,200,0.275,0.000,0.275
1786421948811,200,0.196,0.000,0.196
1786421949811,200,0.188,0.000,0.188
1786421950811,200,0.202,0.000,0.202
1786421951811,200,0.204,0.000,0.203
1786421952811,200,0.201,0.000,0.201
1786421953811,200,0.131,0.000,0.131
1786421954812,200,0.138,0.000,0.138
1786421955812,200,0.049,0.000,0.048
1786421956812,200,0.009,0.000,0.009
1786421957812,200,0.067,0.000,0.067
1786421958812,200,0.072,0.000,0.072
1786421959812,200,0.389,0.000,0.389
1786421960812,200,0.300,0.000,0.300
1786421961812,200,0.009,0.000,0.009
1786421962812,200,0.009,0.000,0.009
1786421963813,200,0.283,0.000,0.283
1786421964813,200,0.183,0.000,0.183
1786421965813,200,0.189,0.000,0.189
1786421966813,200,0.228,0.000,0.228
1786421967813,200,0.151,0.000,0.151
1786421968813,200,0.164,0.000,0.164
1786421969813,200,0.081,0.000,0.081
1786421970813,200,0.092,0.000,0.092
1786421971813,200,0.009,0.000,0.009
1786421972814,200,0.018,0.000,0.018
1786421973814,200,0.021,0.000,0.021
1786421974814,200,0.238,0.000,0.238
1786421975814,200,0.245,0.000,0.245
1786421976814,200,0.262,0.000,0.262
1786421977814,200,0.181,0.000,0.181
1786421978814,200,0.188,0.000,0.188
1786421979814,200,0.009,0.000,0.009
1786421980814,200,0.150,0.000,0.150
1786421981814,200,0.056,0.000,0.056
