epoch_ms,endpoint,http_code,total_s,bytes,regime_lab_status
1786422399760,/api/research/regime-lab?view=pooled,200,0.116,13307,absent
1786422401876,/api/research/regime-lab?view=pooled,200,0.194,13307,absent
1786422404071,/api/research/regime-lab?view=pooled,200,0.062,13307,absent
1786422406132,/api/research/regime-lab?view=pooled,200,0.051,13307,absent
1786422408183,/api/research/regime-lab?view=pooled,200,0.075,13307,absent
1786422410258,/api/research/regime-lab?view=pooled,200,0.152,13307,absent
1786422412410,/api/research/regime-lab?view=pooled,200,0.032,13307,absent
1786422414442,/api/research/regime-lab?view=pooled,200,0.097,13307,absent
1786422416539,/api/research/regime-lab?view=pooled,200,0.638,13307,absent
1786422419178,/api/research/regime-lab?view=pooled,200,0.228,13307,absent
1786422421406,/api/research/regime-lab?view=pooled,200,0.164,13307,absent
1786422423569,/api/research/regime-lab?view=pooled,200,0.186,13307,absent
1786422425756,/api/research/regime-lab?view=pooled,200,0.135,13307,absent
1786422427891,/api/research/regime-lab?view=pooled,200,0.144,13307,absent
1786422430035,/api/research/regime-lab?view=pooled,200,0.199,13307,absent
1786422432234,/api/research/regime-lab?view=pooled,200,0.209,13307,absent
1786422434442,/api/research/regime-lab?view=pooled,200,0.111,13307,absent
1786422436554,/api/research/regime-lab?view=pooled,200,0.195,13307,absent
1786422438749,/api/research/regime-lab?view=pooled,200,0.151,13307,absent
1786422440900,/api/research/regime-lab?view=pooled,200,0.135,13307,absent
1786422443035,/api/research/regime-lab?view=pooled,200,0.590,13307,absent
1786422445626,/api/research/regime-lab?view=pooled,200,0.147,13307,absent
1786422447773,/api/research/regime-lab?view=pooled,200,0.052,13307,absent
1786422449826,/api/research/regime-lab?view=pooled,200,0.099,13307,absent
1786422451925,/api/research/regime-lab?view=pooled,200,0.009,13307,absent
1786422453933,/api/research/regime-lab?view=pooled,200,0.136,13307,absent
1786422456070,/api/research/regime-lab?view=pooled,200,0.009,13307,absent
1786422458079,/api/research/regime-lab?view=pooled,200,0.096,13307,absent
1786422460174,/api/research/regime-lab?view=pooled,200,0.011,13307,absent
1786422462185,/api/research/regime-lab?view=pooled,200,0.008,13307,absent
1786422464194,/api/research/regime-lab?view=pooled,200,0.009,13307,absent
1786422466203,/api/research/regime-lab?view=pooled,200,0.008,13307,absent
1786422468211,/api/research/regime-lab?view=pooled,200,0.006,13307,absent
1786422470217,/api/research/regime-lab?view=pooled,200,0.009,13307,absent
1786422472226,/api/research/regime-lab?view=pooled,200,0.048,13307,absent
1786422474274,/api/research/regime-lab?view=pooled,200,0.045,13307,absent
1786422476319,/api/research/regime-lab?view=pooled,200,0.045,13307,absent
1786422478365,/api/research/regime-lab?view=pooled,200,0.042,13307,absent
1786422480407,/api/research/regime-lab?view=pooled,200,0.058,13307,absent
1786422482465,/api/research/regime-lab?view=pooled,200,0.104,13307,absent
1786422484569,/api/research/regime-lab?view=pooled,200,0.148,13307,absent
1786422486718,/api/research/regime-lab?view=pooled,200,0.114,13307,absent
1786422488831,/api/research/regime-lab?view=pooled,200,0.146,13307,absent
1786422490977,/api/research/regime-lab?view=pooled,200,0.037,13307,absent
1786422493014,/api/research/regime-lab?view=pooled,200,0.037,13307,absent
1786422495051,/api/research/regime-lab?view=pooled,200,0.026,13307,absent
1786422497077,/api/research/regime-lab?view=pooled,200,0.012,13307,absent
1786422499089,/api/research/regime-lab?view=pooled,200,0.020,13307,absent
1786422501109,/api/research/regime-lab?view=pooled,200,0.023,13307,absent
1786422503132,/api/research/regime-lab?view=pooled,200,0.128,13307,absent
1786422505260,/api/research/regime-lab?view=pooled,200,0.054,13307,absent
1786422507314,/api/research/regime-lab?view=pooled,200,0.054,13307,absent
1786422509368,/api/research/regime-lab?view=pooled,200,0.025,13307,absent
1786422511393,/api/research/regime-lab?view=pooled,200,0.010,13307,absent
1786422513404,/api/research/regime-lab?view=pooled,200,0.066,13307,absent
1786422515470,/api/research/regime-lab?view=pooled,200,0.021,13307,absent
1786422517491,/api/research/regime-lab?view=pooled,200,0.194,13307,absent
1786422519684,/api/research/regime-lab?view=pooled,200,0.054,13307,absent
1786422521739,/api/research/regime-lab?view=pooled,200,0.035,13307,absent
1786422523774,/api/research/regime-lab?view=pooled,200,0.032,13307,absent
1786422525806,/api/research/regime-lab?view=pooled,200,0.027,13307,absent
1786422527833,/api/research/regime-lab?view=pooled,200,0.016,13307,absent
1786422529849,/api/research/regime-lab?view=pooled,200,0.007,13307,absent
1786422531856,/api/research/regime-lab?view=pooled,200,0.098,13307,absent
1786422533955,/api/research/regime-lab?view=pooled,200,0.019,13307,absent
1786422535974,/api/research/regime-lab?view=pooled,200,0.010,13307,absent
1786422537984,/api/research/regime-lab?view=pooled,200,0.014,13307,absent
1786422539998,/api/research/regime-lab?view=pooled,200,0.015,13307,absent
1786422542013,/api/research/regime-lab?view=pooled,200,0.211,13307,absent
1786422544224,/api/research/regime-lab?view=pooled,200,0.009,13307,absent
1786422546233,/api/research/regime-lab?view=pooled,200,0.070,13307,absent
1786422548303,/api/research/regime-lab?view=pooled,200,0.063,13307,absent
1786422550367,/api/research/regime-lab?view=pooled,200,0.099,13307,absent
1786422552466,/api/research/regime-lab?view=pooled,200,0.044,13307,absent
1786422554510,/api/research/regime-lab?view=pooled,200,0.051,13307,absent
1786422556561,/api/research/regime-lab?view=pooled,200,0.007,13307,absent
1786422558568,/api/research/regime-lab?view=pooled,200,0.024,13307,absent
1786422560592,/api/research/regime-lab?view=pooled,200,0.009,13307,absent
1786422562602,/api/research/regime-lab?view=pooled,200,0.007,13307,absent
1786422564609,/api/research/regime-lab?view=pooled,200,0.069,13307,absent
1786422566677,/api/research/regime-lab?view=pooled,200,0.064,13307,absent
1786422568741,/api/research/regime-lab?view=pooled,200,0.319,13307,absent
1786422571061,/api/research/regime-lab?view=pooled,200,0.007,13307,absent
1786422573068,/api/research/regime-lab?view=pooled,200,0.010,13307,absent
1786422575078,/api/research/regime-lab?view=pooled,200,0.050,13307,absent
1786422577128,/api/research/regime-lab?view=pooled,200,0.152,13307,absent
1786422579281,/api/research/regime-lab?view=pooled,200,0.047,13307,absent
1786422581328,/api/research/regime-lab?view=pooled,200,0.102,13307,absent
1786422583431,/api/research/regime-lab?view=pooled,200,0.009,13307,absent
1786422585440,/api/research/regime-lab?view=pooled,200,0.008,13307,absent
1786422587449,/api/research/regime-lab?view=pooled,200,0.006,13307,absent
1786422589455,/api/research/regime-lab?view=pooled,200,0.009,13307,absent
1786422591465,/api/research/regime-lab?view=pooled,200,0.008,13307,absent
1786422593473,/api/research/regime-lab?view=pooled,200,0.008,13307,absent
1786422595482,/api/research/regime-lab?view=pooled,200,0.130,13307,absent
1786422597612,/api/research/regime-lab?view=pooled,200,0.012,13307,absent
1786422599624,/api/research/regime-lab?view=pooled,200,0.008,13307,absent
1786422601632,/api/research/regime-lab?view=pooled,200,0.008,13307,absent
1786422603640,/api/research/regime-lab?view=pooled,200,0.181,13307,absent
1786422605821,/api/research/regime-lab?view=pooled,200,0.190,13307,absent
1786422608012,/api/research/regime-lab?view=pooled,200,0.211,13307,absent
1786422610223,/api/research/regime-lab?view=pooled,200,0.085,13307,absent
1786422612307,/api/research/regime-lab?view=pooled,200,0.080,13307,absent
1786422614387,/api/research/regime-lab?view=pooled,200,0.105,13307,absent
1786422616493,/api/research/regime-lab?view=pooled,200,0.097,13307,absent
1786422618590,/api/research/regime-lab?view=pooled,200,0.105,13307,absent
1786422620695,/api/research/regime-lab?view=pooled,200,0.202,13307,absent
1786422622897,/api/research/regime-lab?view=pooled,200,0.008,13307,absent
1786422624905,/api/research/regime-lab?view=pooled,200,0.048,13307,absent
1786422626953,/api/research/regime-lab?view=pooled,200,0.306,13307,absent
1786422629259,/api/research/regime-lab?view=pooled,200,0.097,13307,absent
1786422631356,/api/research/regime-lab?view=pooled,200,0.098,13307,absent
1786422633454,/api/research/regime-lab?view=pooled,200,0.080,13307,absent
1786422635534,/api/research/regime-lab?view=pooled,200,0.275,13307,absent
1786422637810,/api/research/regime-lab?view=pooled,200,0.293,13307,absent
1786422640103,/api/research/regime-lab?view=pooled,200,0.015,13307,absent
1786422642118,/api/research/regime-lab?view=pooled,200,0.064,13307,absent
1786422644182,/api/research/regime-lab?view=pooled,200,0.216,13307,absent
1786422646398,/api/research/regime-lab?view=pooled,200,0.077,13307,absent
1786422648475,/api/research/regime-lab?view=pooled,200,0.143,13307,absent
1786422650618,/api/research/regime-lab?view=pooled,200,0.115,13307,absent
1786422652734,/api/research/regime-lab?view=pooled,200,0.357,13307,absent
1786422655090,/api/research/regime-lab?view=pooled,200,0.072,13307,absent
1786422657162,/api/research/regime-lab?view=pooled,200,0.054,13307,absent
1786422659216,/api/research/regime-lab?view=pooled,200,0.206,13307,absent
1786422661423,/api/research/regime-lab?view=pooled,200,0.070,13307,absent
1786422663493,/api/research/regime-lab?view=pooled,200,0.018,13307,absent
1786422665511,/api/research/regime-lab?view=pooled,200,0.016,13307,absent
1786422667527,/api/research/regime-lab?view=pooled,200,0.014,13307,absent
1786422669541,/api/research/regime-lab?view=pooled,200,0.063,13307,absent
1786422671605,/api/research/regime-lab?view=pooled,200,0.045,13307,absent
1786422673650,/api/research/regime-lab?view=pooled,200,0.414,13307,absent
1786422676063,/api/research/regime-lab?view=pooled,200,0.144,13307,absent
1786422678207,/api/research/regime-lab?view=pooled,200,0.028,13307,absent
1786422680235,/api/research/regime-lab?view=pooled,200,0.237,13307,absent
1786422682473,/api/research/regime-lab?view=pooled,200,0.015,13307,absent
1786422684488,/api/research/regime-lab?view=pooled,200,0.407,13307,absent
1786422686895,/api/research/regime-lab?view=pooled,200,0.185,13307,absent
1786422689080,/api/research/regime-lab?view=pooled,200,0.283,13307,absent
