epoch,worker,http_code,time_total_s,evidence_status,evidence_asof
1784887083,3,200,1.087446,ready,2026-07-22
1784887083,1,200,1.090517,ready,2026-07-22
1784887083,6,200,1.108934,ready,2026-07-22
1784887084,5,200,1.022101,ready,2026-07-22
1784887084,2,200,1.103015,ready,2026-07-22
1784887084,4,200,1.094551,ready,2026-07-22
1784887084,3,200,1.052526,ready,2026-07-22
1784887084,1,200,1.045151,ready,2026-07-22
1784887084,6,200,1.059887,ready,2026-07-22
1784887085,5,200,1.071398,ready,2026-07-22
1784887085,4,200,1.065683,ready,2026-07-22
1784887085,2,200,1.093148,ready,2026-07-22
1784887085,3,200,1.072763,ready,2026-07-22
1784887085,1,200,1.071751,ready,2026-07-22
1784887085,6,200,1.105160,ready,2026-07-22
1784887086,5,200,1.069978,ready,2026-07-22
1784887086,4,200,1.080735,ready,2026-07-22
1784887086,2,200,1.067257,ready,2026-07-22
1784887086,3,200,1.078058,ready,2026-07-22
1784887086,1,200,1.076610,ready,2026-07-22
1784887086,6,200,1.037684,ready,2026-07-22
1784887087,3,200,1.047317,ready,2026-07-22
1784887087,1,200,1.051864,ready,2026-07-22
1784887087,5,200,1.102953,ready,2026-07-22
1784887087,4,200,1.106463,ready,2026-07-22
1784887087,2,200,1.103087,ready,2026-07-22
1784887087,6,200,1.087607,ready,2026-07-22
1784887088,3,200,1.086028,ready,2026-07-22
1784887088,1,200,1.093198,ready,2026-07-22
1784887088,5,200,1.089722,ready,2026-07-22
1784887088,2,200,1.078723,ready,2026-07-22
1784887088,4,200,1.097541,ready,2026-07-22
1784887088,6,200,1.084972,ready,2026-07-22
1784887089,1,200,1.034805,ready,2026-07-22
1784887089,3,200,1.070969,ready,2026-07-22
1784887089,5,200,1.058642,ready,2026-07-22
1784887089,4,200,1.050094,ready,2026-07-22
1784887089,2,200,1.069704,ready,2026-07-22
1784887089,6,200,1.051335,ready,2026-07-22
1784887091,6,200,1.003580,ready,2026-07-22
1784887091,1,200,1.118639,ready,2026-07-22
1784887091,3,200,1.112703,ready,2026-07-22
1784887091,2,200,1.087394,ready,2026-07-22
1784887091,5,200,1.124453,ready,2026-07-22
1784887091,4,200,1.128267,ready,2026-07-22
1784887092,2,200,1.004326,ready,2026-07-22
1784887092,1,200,1.045070,ready,2026-07-22
1784887092,6,200,1.111329,ready,2026-07-22
1784887092,5,200,1.041816,ready,2026-07-22
1784887092,4,200,1.035630,ready,2026-07-22
1784887092,3,200,1.084980,ready,2026-07-22
